StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,sex,degree,grocery_1,boba
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Sex,"Are you majoring in humanities or STEM? (If both, choose the one you most identify with)","Think to the grocery section (south side of the store, to the left when you walk in) at the Grinnell Walmart. How many grocery aisles are there? - How many aisles?","One of these images is named ""Kiki"" and one is named ""Boba""



Which one is named Boba?"
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID4""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID2""}"
2024-04-22 13:03:02,2024-04-22 13:03:20,IP Address,132.161.242.21,100,18,True,2024-04-22 13:03:21,R_71dSXIbfLklIGCn,,,,,41.7387,-92.7332,anonymous,EN,Male,STEM,40,The one on the right is named Boba
2024-04-22 13:04:08,2024-04-22 13:06:01,IP Address,132.161.189.122,100,113,True,2024-04-22 13:06:02,R_7D6nBP5hhkI61jR,,,,,41.7387,-92.7332,anonymous,EN,Female,Humanities,12,The one on the right is named Boba
2024-04-22 13:04:30,2024-04-22 13:06:17,IP Address,132.161.243.195,100,107,True,2024-04-22 13:06:18,R_1DU3cyW2j724Exc,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,33,The one on the right is named Boba
2024-04-22 13:06:04,2024-04-22 13:06:41,IP Address,132.161.244.92,100,36,True,2024-04-22 13:06:41,R_7rOTwJZrOtAXqRN,,,,,41.7387,-92.7332,anonymous,EN,Female,Humanities,18,The one on the right is named Boba
2024-04-22 13:06:04,2024-04-22 13:06:50,IP Address,132.161.244.210,100,46,True,2024-04-22 13:06:50,R_2wFtnlNOIKaSn6m,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,34,The one on the right is named Boba
2024-04-22 13:06:09,2024-04-22 13:06:53,IP Address,132.161.164.67,100,43,True,2024-04-22 13:06:53,R_5YJb9Q8qnkD0oH7,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,12,The one on the right is named Boba
2024-04-22 13:05:17,2024-04-22 13:06:54,IP Address,132.161.189.211,100,97,True,2024-04-22 13:06:55,R_7h5RaLoY90xl4CO,,,,,41.7387,-92.7332,anonymous,EN,Male,Humanities,5,The one on the right is named Boba
2024-04-22 13:06:13,2024-04-22 13:06:58,IP Address,132.161.163.116,100,45,True,2024-04-22 13:06:59,R_5GV6K131IACa0o5,,,,,41.7387,-92.7332,anonymous,EN,Female,Humanities,8,The one on the right is named Boba
2024-04-22 13:06:14,2024-04-22 13:06:59,IP Address,132.161.164.195,100,45,True,2024-04-22 13:07:00,R_2TJM1MZa7fCNGSd,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,12,The one on the right is named Boba
2024-04-22 13:06:22,2024-04-22 13:07:02,IP Address,132.161.246.166,100,40,True,2024-04-22 13:07:02,R_19VnOQdOd6Zwaxb,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,38,The one on the right is named Boba
2024-04-22 13:06:23,2024-04-22 13:07:02,IP Address,132.161.246.32,100,39,True,2024-04-22 13:07:03,R_1vX54bEW5tE9kul,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,40,The one on the right is named Boba
2024-04-22 13:06:37,2024-04-22 13:07:05,IP Address,132.161.162.71,100,28,True,2024-04-22 13:07:06,R_3rrz8RepaFr7i6z,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,30,The one on the right is named Boba
2024-04-22 13:05:54,2024-04-22 13:07:05,IP Address,132.161.187.165,100,71,True,2024-04-22 13:07:06,R_2GjPQBOSCfoKy2o,,,,,41.7387,-92.7332,anonymous,EN,Male,Humanities,14,The one on the right is named Boba
2024-04-22 13:06:21,2024-04-22 13:07:07,IP Address,132.161.164.244,100,45,True,2024-04-22 13:07:08,R_26mYJ57GFg2k72O,,,,,41.7387,-92.7332,anonymous,EN,Male,Humanities,20,The one on the right is named Boba
2024-04-22 13:06:42,2024-04-22 13:07:14,IP Address,132.161.164.167,100,32,True,2024-04-22 13:07:15,R_3hm6BDEHDMjcSeJ,,,,,41.7387,-92.7332,anonymous,EN,Male,Humanities,25,The one on the right is named Boba
2024-04-22 13:06:39,2024-04-22 13:07:41,IP Address,132.161.166.132,100,62,True,2024-04-22 13:07:42,R_7EoAfnnDd7x58vo,,,,,41.7387,-92.7332,anonymous,EN,Male,Humanities,22,The one on the right is named Boba
2024-04-22 13:06:34,2024-04-22 13:07:46,IP Address,132.161.163.212,100,71,True,2024-04-22 13:07:46,R_1Qz5yzJRmIUlyM2,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,25,The one on the right is named Boba
2024-04-22 13:07:16,2024-04-22 13:08:02,IP Address,132.161.194.59,100,46,True,2024-04-22 13:08:03,R_1gTgQuUZfGFzyHn,,,,,41.7387,-92.7332,anonymous,EN,Male,STEM,15,The one on the right is named Boba
2024-04-22 13:08:29,2024-04-22 13:08:52,IP Address,132.161.247.94,100,23,True,2024-04-22 13:08:53,R_5KCJ74UqSkt1TOB,,,,,41.7387,-92.7332,anonymous,EN,Male,STEM,12,The one on the right is named Boba
2024-04-22 13:09:48,2024-04-22 13:10:12,IP Address,132.161.241.139,100,24,True,2024-04-22 13:10:13,R_2mfVhHlxosiUSKS,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,20,The one on the right is named Boba
2024-04-22 14:30:40,2024-04-22 14:31:23,IP Address,132.161.241.112,100,43,True,2024-04-22 14:31:23,R_3blrlWoCNbyEM8h,,,,,41.7387,-92.7332,anonymous,EN,Male,STEM,20,The one on the right is named Boba
2024-04-22 14:31:10,2024-04-22 14:31:39,IP Address,132.161.240.208,100,29,True,2024-04-22 14:31:40,R_1fbn0d68sUc09vr,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,33,The one on the right is named Boba
2024-04-22 14:31:34,2024-04-22 14:32:39,IP Address,132.161.163.134,100,64,True,2024-04-22 14:32:39,R_2Y8UpPQoVjxKmjf,,,,,41.7387,-92.7332,anonymous,EN,Male,Humanities,11,The one on the right is named Boba
2024-04-22 14:32:47,2024-04-22 14:34:27,IP Address,132.161.247.177,100,100,True,2024-04-22 14:34:28,R_2fmxBa1gf2D9cDT,,,,,41.7387,-92.7332,anonymous,EN,Male,STEM,18,The one on the right is named Boba
2024-04-22 14:34:54,2024-04-22 14:35:35,IP Address,132.161.253.51,100,40,True,2024-04-22 14:35:36,R_5acaVyLp3HDs4Nz,,,,,41.7387,-92.7332,anonymous,EN,Male,Humanities,11,The one on the right is named Boba
2024-04-22 14:31:30,2024-04-22 14:41:53,IP Address,132.161.187.173,100,622,True,2024-04-22 14:41:53,R_1n32hVMYr4ifr3x,,,,,41.7387,-92.7332,anonymous,EN,Male,STEM,8,The one on the right is named Boba
2024-04-22 14:28:13,2024-04-22 14:41:59,IP Address,132.161.163.86,100,826,True,2024-04-22 14:41:59,R_5DufK5yz48DcAXn,,,,,41.7387,-92.7332,anonymous,EN,Male,STEM,75,The one on the right is named Boba
2024-04-22 14:41:37,2024-04-22 14:42:07,IP Address,132.161.240.202,100,29,True,2024-04-22 14:42:07,R_12JNrQkqKXCzL1v,,,,,41.7387,-92.7332,anonymous,EN,Male,STEM,30,The one on the right is named Boba
2024-04-22 14:37:28,2024-04-22 14:42:09,IP Address,132.161.242.233,100,281,True,2024-04-22 14:42:10,R_3cwG36BhXtGT64b,,,,,41.7387,-92.7332,anonymous,EN,Male,STEM,22,The one on the right is named Boba
2024-04-22 14:41:39,2024-04-22 14:42:10,IP Address,132.161.242.80,100,30,True,2024-04-22 14:42:10,R_1MM171xleb2HC1a,,,,,41.7387,-92.7332,anonymous,EN,Female,Humanities,13,The one on the right is named Boba
2024-04-22 14:41:48,2024-04-22 14:42:19,IP Address,132.161.163.194,100,30,True,2024-04-22 14:42:19,R_110WAMvCzu70Uza,,,,,41.7387,-92.7332,anonymous,EN,Male,STEM,40,The one on the right is named Boba
2024-04-22 14:41:46,2024-04-22 14:42:25,IP Address,132.161.243.25,100,38,True,2024-04-22 14:42:25,R_1pcg3om0dsXISS1,,,,,41.7387,-92.7332,anonymous,EN,Prefer not to say,Humanities,24,The one on the right is named Boba
2024-04-22 14:42:07,2024-04-22 14:42:27,IP Address,132.161.241.217,100,19,True,2024-04-22 14:42:27,R_5qdSEblDpgFLCe8,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,75,The one on the right is named Boba
2024-04-22 14:41:31,2024-04-22 14:42:31,IP Address,132.161.165.181,100,60,True,2024-04-22 14:42:32,R_224siUKTApNIQqZ,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,18,The one on the right is named Boba
2024-04-22 14:42:17,2024-04-22 14:42:45,IP Address,132.161.187.194,100,27,True,2024-04-22 14:42:45,R_7R8DNuGZbMNKcbq,,,,,41.7387,-92.7332,anonymous,EN,Male,Humanities,26,The one on the right is named Boba
2024-04-22 14:42:05,2024-04-22 14:42:47,IP Address,132.161.244.254,100,41,True,2024-04-22 14:42:47,R_5wDZqiwDxhTrybn,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,15,The one on the right is named Boba
2024-04-22 14:42:21,2024-04-22 14:42:50,IP Address,132.161.162.69,100,28,True,2024-04-22 14:42:50,R_2EjdXAvfM9fx4wM,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,12,The one on the right is named Boba
2024-04-22 14:42:20,2024-04-22 14:42:51,IP Address,132.161.187.174,100,31,True,2024-04-22 14:42:52,R_52bU1ioe3xAHNXS,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,30,The one on the right is named Boba
2024-04-22 14:42:08,2024-04-22 14:42:58,IP Address,132.161.162.112,100,49,True,2024-04-22 14:42:58,R_7s71FZnmb4bQFjJ,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,18,The one on the right is named Boba
2024-04-22 14:41:55,2024-04-22 14:43:03,IP Address,132.161.241.105,100,68,True,2024-04-22 14:43:04,R_7h1tDv9zIOMVbfX,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,30,The one on the right is named Boba
2024-04-22 14:42:42,2024-04-22 14:43:07,IP Address,132.161.245.38,100,24,True,2024-04-22 14:43:07,R_3483xSY3mOSLP4l,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,37,The one on the right is named Boba
2024-04-22 14:42:10,2024-04-22 14:43:15,IP Address,132.161.186.120,100,64,True,2024-04-22 14:43:16,R_32PV1J4D68KFYJj,,,,,41.7387,-92.7332,anonymous,EN,Female,Humanities,12,The one on the right is named Boba
2024-04-22 14:42:19,2024-04-22 14:43:25,IP Address,132.161.166.79,100,66,True,2024-04-22 14:43:26,R_3bGfC7AT9WB1iqB,,,,,41.7387,-92.7332,anonymous,EN,Female,Humanities,48,The one on the right is named Boba
2024-04-22 14:44:55,2024-04-22 14:45:16,IP Address,132.161.253.51,100,20,True,2024-04-22 14:45:16,R_7RvGpN5XV0zfoCQ,,,,,41.7387,-92.7332,anonymous,EN,Male,STEM,40,The one on the right is named Boba
2024-04-22 17:54:43,2024-04-22 17:55:24,IP Address,132.161.242.54,100,41,True,2024-04-22 17:55:25,R_234ochMWgJbhRwQ,,,,,41.7387,-92.7332,anonymous,EN,Female,STEM,20,The one on the right is named Boba
